DATE,PN,CN,COVID
190201,0.2960041335650852,53,0
190202,0.2960041335650853,6,0
190203,0.2960041335650853,1,0
190206,0.2960041335650855,282,0
190207,0.2960041335650853,1897,0
190208,0.2960041335650853,1028,0
190209,0.2960041335650856,131,0
190210,0.2960041335650852,34,0
190211,0.2960041335650853,1887,0
190212,0.2960041335650853,1004,0
190213,0.29600413356508537,980,0
190214,0.2960041335650853,771,0
190215,0.2960041335650853,899,0
190216,0.2960041335650856,169,0
190217,0.2960041335650852,31,0
190218,0.2960041335650853,1594,0
190219,0.2960041335650853,1041,0
190220,0.2960041335650853,871,0
190221,0.2960041335650853,793,0
190222,0.2960041335650853,943,0
190223,0.29600413356508554,91,0
190224,0.2960041335650856,143,0
190225,0.2960041335650853,1568,0
190226,0.2960041335650853,962,0
190227,0.2960041335650853,925,0
190228,0.2960041335650853,763,0
190301,-0.036042352517445884,5,0
190302,-0.036042352517445864,137,0
190303,-0.0360423525174459,37,0
190304,-0.036042352517445884,1871,0
190305,-0.036042352517445884,1079,0
190306,-0.036042352517445884,917,0
190307,-0.036042352517445884,822,0
190308,-0.036042352517445884,796,0
190309,-0.03604235251744587,184,0
190310,-0.036042352517445884,16,0
190311,-0.036042352517445884,1637,0
190312,-0.036042352517445884,967,0
190313,-0.036042352517445884,909,0
190314,-0.036042352517445884,763,0
190315,-0.036042352517445884,703,0
190316,-0.036042352517445864,115,0
190317,-0.036042352517445884,25,0
190318,-0.036042352517445884,1444,0
190319,-0.036042352517445884,1079,0
190320,-0.036042352517445884,885,0
190321,-0.036042352517445884,823,0
190322,-0.036042352517445884,733,0
190323,-0.03604235251744586,78,0
190324,-0.036042352517445884,12,0
190325,-0.036042352517445884,1504,0
190326,-0.036042352517445884,1053,0
190327,-0.036042352517445884,820,0
190328,-0.036042352517445884,802,0
190329,-0.036042352517445884,789,0
190330,-0.036042352517445864,142,0
190331,-0.036042352517445884,17,0
190401,0.3428010770252773,1473,0
190402,0.3428010770252773,979,0
190403,0.3428010770252773,894,0
190404,0.3428010770252773,794,0
190405,0.3428010770252773,714,0
190406,0.34280107702527696,84,0
190407,0.3428010770252773,9,0
190408,0.3428010770252773,1415,0
190409,0.3428010770252773,977,0
190410,0.3428010770252773,856,0
190411,0.3428010770252773,836,0
190412,0.3428010770252773,794,0
190413,0.34280107702527696,84,0
190414,0.3428010770252773,13,0
190415,0.3428010770252773,1496,0
190416,0.3428010770252773,953,0
190417,0.3428010770252773,883,0
190418,0.3428010770252773,897,0
190419,0.3428010770252773,853,0
190420,0.34280107702527696,86,0
190421,0.3428010770252773,19,0
190422,0.3428010770252773,1549,0
190423,0.3428010770252773,982,0
190424,0.3428010770252773,908,0
190425,0.3428010770252773,861,0
190426,0.3428010770252773,758,0
190427,0.34280107702527696,103,0
190428,0.3428010770252773,36,0
190429,0.3428010770252773,1607,0
190430,0.3428010770252773,959,0
190501,0.7659961325781683,392,0
190502,0.7659961325781682,1298,0
190503,0.7659961325781682,808,0
190504,0.7659961325781691,84,0
190505,0.7659961325781685,7,0
190506,0.7659961325781687,128,0
190507,0.7659961325781682,2033,0
190508,0.7659961325781682,988,0
190509,0.7659961325781682,937,0
190510,0.7659961325781682,1074,0
190511,0.7659961325781689,280,0
190512,0.7659961325781685,58,0
190513,0.7659961325781682,1710,0
190514,0.7659961325781682,1204,0
190515,0.7659961325781682,1069,0
190516,0.7659961325781682,829,0
190517,0.7659961325781682,830,0
190518,0.7659961325781691,86,0
190519,0.7659961325781685,22,0
190520,0.7659961325781682,1523,0
190521,0.7659961325781682,939,0
190522,0.7659961325781682,855,0
190523,0.7659961325781682,972,0
190524,0.7659961325781682,776,0
190525,0.7659961325781692,84,0
190526,0.7659961325781685,11,0
190527,0.7659961325781682,1491,0
190528,0.7659961325781682,1029,0
190529,0.7659961325781682,1038,0
190530,0.7659961325781682,905,0
190531,0.7659961325781682,776,0
200201,0.7704757792609084,80,0
200202,0.7704757792609079,44,2
200203,0.7704757792609075,1545,15
200204,0.7704757792609075,995,0
200205,0.7704757792609075,959,18
200206,0.7704757792609075,815,23
200207,0.7704757792609075,690,24
200208,0.7704757792609085,74,24
200209,0.7704757792609077,35,27
200210,0.7704757792609075,1560,27
200211,0.7704757792609075,976,28
200212,0.7704757792609075,767,28
200213,0.7704757792609075,787,28
200214,0.7704757792609075,804,28
200215,0.7704757792609079,144,28
200216,0.7704757792609083,81,29
200217,0.7704757792609075,1556,30
200218,0.7704757792609075,861,31
200219,0.7704757792609075,762,51
200220,0.7704757792609075,690,104
200221,0.7704757792609075,670,204
200222,0.7704757792609085,82,433
200223,0.7704757792609077,20,602
200224,0.7704757792609075,1511,833
200225,0.7704757792609075,878,893
200226,0.7704757792609075,772,1261
200227,0.7704757792609075,887,1766
200228,0.7704757792609075,611,2337
200229,0.7704757792609082,119,3736
200301,0.7231104969978333,193,4212
200302,0.7231104969978333,1662,4812
200303,0.7231104969978333,1022,5328
200304,0.7231104969978333,914,5766
200305,0.7231104969978333,898,6284
200306,0.7231104969978333,831,6767
200307,0.7231104969978333,91,7134
200308,0.7231104969978333,28,7382
200309,0.7231104969978333,1680,7513
200310,0.7231104969978333,1137,7755
200311,0.7231104969978333,952,7869
200312,0.7231104969978333,884,7979
200313,0.7231104969978333,808,8086
200314,0.7231104969978333,106,8162
200315,0.7231104969978333,42,8236
200316,0.7231104969978333,1656,8320
200317,0.7231104969978333,954,8413
200318,0.7231104969978333,991,8565
200319,0.7231104969978333,997,8652
200320,0.7231104969978333,791,8799
200321,0.7231104969978333,118,8897
200322,0.7231104969978333,52,8961
200323,0.7231104969978333,1839,9037
200324,0.7231104969978333,1047,9137
200325,0.7231104969978333,1085,9241
200326,0.7231104969978333,1088,9332
200327,0.7231104969978333,938,9478
200328,0.7231104969978333,105,9583
200329,0.7231104969978333,197,9661
200330,0.7231104969978333,1864,9786
200331,0.7231104969978333,1101,9887
200401,0.3736261384827746,1144,9976
200402,0.37362613848277454,1145,10062
200403,0.37362613848277454,1009,10156
200404,0.37362613848277504,104,10237
200405,0.3736261384827752,55,10284
200406,0.37362613848277454,2000,10331
200407,0.37362613848277454,1197,10384
200408,0.37362613848277454,1020,10423
200409,0.37362613848277454,1106,10450
200410,0.3736261384827746,892,10480
200411,0.3736261384827749,122,10512
200412,0.3736261384827752,37,10537
200413,0.37362613848277454,2058,10564
200414,0.37362613848277454,1209,10591
200415,0.3736261384827752,25,10613
200416,0.37362613848277454,1823,10635
200417,0.37362613848277454,1138,10653
200418,0.3736261384827748,171,10661
200419,0.3736261384827752,106,10674
200420,0.37362613848277454,1981,10683
200421,0.37362613848277454,1547,10694
200422,0.37362613848277454,1338,10702
200423,0.37362613848277454,1179,10708
200424,0.3736261384827746,1020,10718
200425,0.3736261384827748,115,10728
200426,0.3736261384827752,44,10738
200427,0.37362613848277454,2296,10752
200428,0.37362613848277454,1324,10761
200429,0.37362613848277454,1144,10765
200430,0.37362613848277504,10,10774
200501,0.35270217061042786,799,10780
200502,0.35270217061042786,190,10793
200503,0.35270217061042786,152,10801
200504,0.35270217061042786,2774,10804
200505,0.35270217061042786,79,10806
200506,0.35270217061042786,2257,10810
200507,0.35270217061042786,1384,10822
200508,0.35270217061042786,1175,10840
200509,0.35270217061042786,274,10874
200510,0.35270217061042786,52,10909
200511,0.35270217061042786,2297,10936
200512,0.35270217061042786,1560,10962
200513,0.35270217061042786,1299,10991
200514,0.35270217061042786,1216,11018
200515,0.35270217061042786,1164,11037
200516,0.35270217061042786,123,11050
200517,0.35270217061042786,92,11065
200518,0.35270217061042786,2275,11078
200519,0.35270217061042786,1427,11110
200520,0.35270217061042786,1297,11122
200521,0.35270217061042786,1257,11142
200522,0.35270217061042786,1063,11165
200523,0.35270217061042786,134,11190
200524,0.35270217061042786,54,11206
200525,0.35270217061042786,2337,11225
200526,0.35270217061042786,1378,11265
200527,0.35270217061042786,1380,11344
200528,0.35270217061042786,1343,11402
200529,0.35270217061042786,1066,11441
200530,0.35270217061042786,112,11468
